"evt","SOA","Latency","Offset","evt_num","evt_fin","note"
"DIN1",500,106844,500,1,"stand",NA
"DIN6",500,107344,500,6,"loc1","1 = left?"
"DIN1",500,107844,500,1,"stand",NA
"DIN4",500,108344,500,4,"int",NA
"DIN1",500,108844,500,1,"stand",NA
"DIN6",500,109344,500,6,"loc1","1 = left?"
"DIN1",500,109844,500,1,"stand",NA
"DIN5",501,110345,501,5,"dur",NA
"DIN1",500,110845,500,1,"stand",NA
"DIN9",500,111345,500,9,"novel",NA
"DIN1",500,111845,500,1,"stand",NA
"DIN5",500,112345,500,5,"dur",NA
"DIN1",500,112845,500,1,"stand",NA
"DIN4",500,113345,500,4,"int",NA
"DIN1",500,113845,500,1,"stand",NA
"DIN6",500,114345,500,6,"loc1","1 = left?"
"DIN1",500,114845,500,1,"stand",NA
"DIN3",500,115345,500,3,"freq2","2 = down?"
"DIN1",500,115845,500,1,"stand",NA
"DIN9",500,116345,500,9,"novel",NA
"DIN1",500,116845,500,1,"stand",NA
"DIN2",500,117345,500,2,"freq1","1 = up?"
"DIN1",500,117845,500,1,"stand",NA
"DIN6",500,118345,500,6,"loc1","1 = left?"
"DIN1",500,118845,500,1,"stand",NA
"DIN4",500,119345,500,4,"int",NA
"DIN1",500,119845,500,1,"stand",NA
"DIN9",500,120345,500,9,"novel",NA
"DIN1",500,120845,500,1,"stand",NA
"DIN8",500,121345,500,8,"gap",NA
"DIN1",500,121845,500,1,"stand",NA
"DIN9",500,122345,500,9,"novel",NA
"DIN1",500,122845,500,1,"stand",NA
"DIN5",500,123345,500,5,"dur",NA
"DIN1",500,123845,500,1,"stand",NA
"DIN8",500,124345,500,8,"gap",NA
"DIN1",500,124845,500,1,"stand",NA
"DIN4",501,125346,501,4,"int",NA
"DIN1",500,125846,500,1,"stand",NA
"DIN3",500,126346,500,3,"freq2","2 = down?"
"DIN1",500,126846,500,1,"stand",NA
"DIN9",500,127346,500,9,"novel",NA
"DIN1",500,127846,500,1,"stand",NA
"DIN8",500,128346,500,8,"gap",NA
"DIN1",500,128846,500,1,"stand",NA
"DIN4",500,129346,500,4,"int",NA
"DIN1",500,129846,500,1,"stand",NA
"DIN7",500,130346,500,7,"loc2","2 = right?"
"DIN1",500,130846,500,1,"stand",NA
"DIN3",500,131346,500,3,"freq2","2 = down?"
"DIN1",500,131846,500,1,"stand",NA
"DIN5",500,132346,500,5,"dur",NA
"DIN1",500,132846,500,1,"stand",NA
"DIN8",500,133346,500,8,"gap",NA
"DIN1",500,133846,500,1,"stand",NA
"DIN2",500,134346,500,2,"freq1","1 = up?"
"DIN1",500,134846,500,1,"stand",NA
"DIN4",500,135346,500,4,"int",NA
"DIN1",500,135846,500,1,"stand",NA
"DIN9",500,136346,500,9,"novel",NA
"DIN1",500,136846,500,1,"stand",NA
"DIN4",500,137346,500,4,"int",NA
"DIN1",500,137846,500,1,"stand",NA
"DIN2",500,138346,500,2,"freq1","1 = up?"
"DIN1",500,138846,500,1,"stand",NA
"DIN6",500,139346,500,6,"loc1","1 = left?"
"DIN1",500,139846,500,1,"stand",NA
"DIN9",500,140346,500,9,"novel",NA
"DIN1",501,140847,501,1,"stand",NA
"DIN5",500,141347,500,5,"dur",NA
"DIN1",500,141847,500,1,"stand",NA
"DIN7",500,142347,500,7,"loc2","2 = right?"
"DIN1",500,142847,500,1,"stand",NA
