"evt","SOA","Latency","Offset","evt_num","evt_descr","note"
"DIN2",360,634363,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,634543,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,634903,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,635083,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,635443,360,4,"std_timbre","standard for timbre"
"DIN5",710,636153,710,5,"key","key change"
"DI22",360,636513,360,22,NA,NA
"DI23",180,636693,180,23,NA,NA
"DI22",360,637053,360,22,NA,NA
"DI23",180,637233,180,23,NA,NA
"DI24",360,637593,360,24,NA,NA
"DIN1",710,638303,710,1,"std_key","standard for key"
"DIN2",360,638663,360,2,"std_rhythm","standard for rhythm"
"DI10",180,638843,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,639023,180,14,NA,NA
"DIN3",360,639383,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,639743,360,4,"std_timbre","standard for timbre"
"DIN1",710,640453,710,1,"std_key","standard for key"
"DIN2",360,640813,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,640993,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,641173,180,6,"melody","melody change"
"DI14",360,641533,360,14,NA,NA
"DIN4",360,641893,360,4,"std_timbre","standard for timbre"
"DIN5",710,642603,710,5,"key","key change"
"DI22",360,642963,360,22,NA,NA
"DI22",180,643143,180,22,NA,NA
"DI23",180,643323,180,23,NA,NA
"DI23",360,643683,360,23,NA,NA
"DIN9",360,644043,360,9,"timbre2","timbre (end of melody)"
"DIN1",700,644743,700,1,"std_key","standard for key"
"DIN2",360,645103,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,645283,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,645463,180,6,"melody","melody change"
"DI14",360,645823,360,14,NA,NA
"DI15",360,646183,360,15,NA,NA
"DIN5",710,646893,710,5,"key","key change"
"D101",360,647253,360,101,"rhythm1","rhythm change (long tone)"
"DI13",360,647613,360,13,NA,NA
"DI13",180,647793,180,13,NA,NA
"DIN8",180,647973,180,8,"timbre1","timbre (middle of melody)"
"DIN4",360,648333,360,4,"std_timbre","standard for timbre"
"DIN1",710,649043,710,1,"std_key","standard for key"
"DIN3",360,649403,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,649763,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,649943,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,650123,180,6,"melody","melody change"
"DIN9",360,650483,360,9,"timbre2","timbre (end of melody)"
"DIN1",710,651193,710,1,"std_key","standard for key"
"DIN7",360,651553,360,7,"tune","mistuning"
"DI13",360,651913,360,13,NA,NA
"DIN2",180,652093,180,2,"std_rhythm","standard for rhythm"
"DIN8",180,652273,180,8,"timbre1","timbre (middle of melody)"
"DIN4",360,652633,360,4,"std_timbre","standard for timbre"
"DIN1",710,653343,710,1,"std_key","standard for key"
"DIN3",360,653703,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,654063,360,2,"std_rhythm","standard for rhythm"
"D101",180,654243,180,101,"rhythm1","rhythm change (long tone)"
"DI13",360,654603,360,13,NA,NA
"DIN4",180,654783,180,4,"std_timbre","standard for timbre"
"DIN1",710,655493,710,1,"std_key","standard for key"
"DIN3",360,655853,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,656213,360,2,"std_rhythm","standard for rhythm"
"DIN7",180,656393,180,7,"tune","mistuning"
"DI13",360,656753,360,13,NA,NA
"DIN9",180,656933,180,9,"timbre2","timbre (end of melody)"
"DIN1",710,657643,710,1,"std_key","standard for key"
"DIN3",360,658003,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,658363,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,658543,180,6,"melody","melody change"
"DI13",360,658903,360,13,NA,NA
"DIN4",180,659083,180,4,"std_timbre","standard for timbre"
"DIN1",710,659793,710,1,"std_key","standard for key"
"DIN3",360,660153,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"D101",360,660513,360,101,"rhythm1","rhythm change (long tone)"
"DI13",360,660873,360,13,NA,NA
"DIN2",180,661053,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,661233,180,4,"std_timbre","standard for timbre"
"DIN1",710,661943,710,1,"std_key","standard for key"
"DIN7",360,662303,360,7,"tune","mistuning"
"DI14",360,662663,360,14,NA,NA
"DIN2",360,663023,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,663203,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,663383,180,4,"std_timbre","standard for timbre"
"DIN1",710,664093,710,1,"std_key","standard for key"
"DIN3",360,664453,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DI10",360,664813,360,10,"rhythm2","rhythm change (short tone)"
"DI13",180,664993,180,13,NA,NA
"DI13",360,665353,360,13,NA,NA
"DI15",180,665533,180,15,NA,NA
"DIN1",710,666243,710,1,"std_key","standard for key"
"DIN3",360,666603,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,666963,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,667143,180,6,"melody","melody change"
"DI13",360,667503,360,13,NA,NA
"DIN4",180,667683,180,4,"std_timbre","standard for timbre"
"DIN1",710,668393,710,1,"std_key","standard for key"
"DIN3",360,668753,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,669113,360,2,"std_rhythm","standard for rhythm"
"DI10",180,669293,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,669473,180,14,NA,NA
"DIN4",360,669833,360,4,"std_timbre","standard for timbre"
"DIN1",710,670543,710,1,"std_key","standard for key"
"DIN8",360,670903,360,8,"timbre1","timbre (middle of melody)"
"DIN2",360,671263,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,671443,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,671623,180,6,"melody","melody change"
"DI15",360,671983,360,15,NA,NA
"DIN5",710,672693,710,5,"key","key change"
"DI23",360,673053,360,23,NA,NA
"DI22",360,673413,360,22,NA,NA
"DI22",180,673593,180,22,NA,NA
"DIN8",180,673773,180,8,"timbre1","timbre (middle of melody)"
"DIN4",360,674133,360,4,"std_timbre","standard for timbre"
"DIN1",710,674843,710,1,"std_key","standard for key"
"DIN3",360,675203,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"D101",360,675563,360,101,"rhythm1","rhythm change (long tone)"
"DI13",360,675923,360,13,NA,NA
"DI13",180,676103,180,13,NA,NA
"DIN4",180,676283,180,4,"std_timbre","standard for timbre"
"DIN1",710,676993,710,1,"std_key","standard for key"
"DIN3",360,677353,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN3",360,677713,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,678073,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,678253,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,678433,180,4,"std_timbre","standard for timbre"
"DIN5",710,679143,710,5,"key","key change"
"DI23",360,679503,360,23,NA,NA
"DI10",360,679863,360,10,"rhythm2","rhythm change (short tone)"
"DI14",180,680043,180,14,NA,NA
"DI13",360,680403,360,13,NA,NA
"DI24",180,680583,180,24,NA,NA
"DIN1",710,681293,710,1,"std_key","standard for key"
"DIN3",360,681653,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,682013,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,682193,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,682553,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,682733,180,4,"std_timbre","standard for timbre"
"DIN1",710,683443,710,1,"std_key","standard for key"
"DIN3",360,683803,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,684163,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,684343,180,6,"melody","melody change"
"DI13",360,684703,360,13,NA,NA
"DIN4",180,684883,180,4,"std_timbre","standard for timbre"
"DIN1",710,685593,710,1,"std_key","standard for key"
"DIN4",360,685953,360,4,"std_timbre","standard for timbre"
"DI13",360,686313,360,13,NA,NA
"DIN3",180,686493,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,686853,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,687033,180,4,"std_timbre","standard for timbre"
"DIN1",710,687743,710,1,"std_key","standard for key"
"DIN3",360,688103,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,688463,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,688643,180,6,"melody","melody change"
"DI13",360,689003,360,13,NA,NA
"DIN4",180,689183,180,4,"std_timbre","standard for timbre"
"DIN1",710,689893,710,1,"std_key","standard for key"
"DIN3",360,690253,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,690613,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,690793,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,691153,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,691333,180,4,"std_timbre","standard for timbre"
"DIN1",710,692043,710,1,"std_key","standard for key"
"DIN3",360,692403,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,692763,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,692943,180,6,"melody","melody change"
"DI13",360,693303,360,13,NA,NA
"DIN4",180,693483,180,4,"std_timbre","standard for timbre"
"DIN1",710,694193,710,1,"std_key","standard for key"
"DIN3",360,694553,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,694913,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,695093,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,695453,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,695633,180,4,"std_timbre","standard for timbre"
"DIN5",710,696343,710,5,"key","key change"
"DI23",360,696703,360,23,NA,NA
"DI22",360,697063,360,22,NA,NA
"DI23",180,697243,180,23,NA,NA
"DI22",360,697603,360,22,NA,NA
"DI24",180,697783,180,24,NA,NA
"DIN1",710,698493,710,1,"std_key","standard for key"
"DIN3",360,698853,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,699213,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,699393,180,6,"melody","melody change"
"DI13",350,699743,350,13,NA,NA
"DIN9",180,699923,180,9,"timbre2","timbre (end of melody)"
"DIN1",700,700623,700,1,"std_key","standard for key"
"DIN7",360,700983,360,7,"tune","mistuning"
"DI13",360,701343,360,13,NA,NA
"DIN3",180,701523,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",350,701873,350,2,"std_rhythm","standard for rhythm"
"DIN4",180,702053,180,4,"std_timbre","standard for timbre"
"DIN5",710,702763,710,5,"key","key change"
"DI23",360,703123,360,23,NA,NA
"DI22",360,703483,360,22,NA,NA
"DI23",180,703663,180,23,NA,NA
"DI22",360,704023,360,22,NA,NA
"DI24",180,704203,180,24,NA,NA
"DIN1",710,704913,710,1,"std_key","standard for key"
"DIN3",360,705273,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",350,705623,350,2,"std_rhythm","standard for rhythm"
"DIN7",180,705803,180,7,"tune","mistuning"
"DI13",360,706163,360,13,NA,NA
"DIN4",180,706343,180,4,"std_timbre","standard for timbre"
"DIN5",710,707053,710,5,"key","key change"
"DIN8",360,707413,360,8,"timbre1","timbre (middle of melody)"
"DIN2",360,707773,360,2,"std_rhythm","standard for rhythm"
"DI10",180,707953,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,708133,180,14,NA,NA
"DIN4",360,708493,360,4,"std_timbre","standard for timbre"
"DIN1",710,709203,710,1,"std_key","standard for key"
"DIN7",360,709563,360,7,"tune","mistuning"
"DI13",350,709913,350,13,NA,NA
"DIN2",180,710093,180,2,"std_rhythm","standard for rhythm"
"DIN3",180,710273,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,710633,360,4,"std_timbre","standard for timbre"
"DIN5",710,711343,710,5,"key","key change"
"DI10",360,711703,360,10,"rhythm2","rhythm change (short tone)"
"DI13",180,711883,180,13,NA,NA
"DIN3",180,712063,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN3",360,712423,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,712783,360,4,"std_timbre","standard for timbre"
"DIN1",710,713493,710,1,"std_key","standard for key"
"DIN2",360,713853,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,714033,180,2,"std_rhythm","standard for rhythm"
"DIN3",180,714213,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN7",360,714573,360,7,"tune","mistuning"
"DI15",360,714933,360,15,NA,NA
"DIN5",710,715643,710,5,"key","key change"
"DI22",360,716003,360,22,NA,NA
"DI22",180,716183,180,22,NA,NA
"DI23",180,716363,180,23,NA,NA
"DI23",360,716723,360,23,NA,NA
"DIN9",360,717083,360,9,"timbre2","timbre (end of melody)"
"DIN1",710,717793,710,1,"std_key","standard for key"
"DIN2",360,718153,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,718333,180,2,"std_rhythm","standard for rhythm"
"DIN7",180,718513,180,7,"tune","mistuning"
"DI14",360,718873,360,14,NA,NA
"DIN4",360,719233,360,4,"std_timbre","standard for timbre"
"DIN5",710,719943,710,5,"key","key change"
"DI22",360,720303,360,22,NA,NA
"DI22",180,720483,180,22,NA,NA
"DI23",180,720663,180,23,NA,NA
"DI23",360,721023,360,23,NA,NA
"DI24",360,721383,360,24,NA,NA
"DIN1",710,722093,710,1,"std_key","standard for key"
"DIN2",360,722453,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,722633,180,2,"std_rhythm","standard for rhythm"
"DIN3",180,722813,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN7",360,723173,360,7,"tune","mistuning"
"DI15",360,723533,360,15,NA,NA
"DIN5",710,724243,710,5,"key","key change"
"DI22",360,724603,360,22,NA,NA
"DI22",180,724783,180,22,NA,NA
"DI23",180,724963,180,23,NA,NA
"DI23",360,725323,360,23,NA,NA
"DIN9",360,725683,360,9,"timbre2","timbre (end of melody)"
"DIN1",710,726393,710,1,"std_key","standard for key"
"DIN2",360,726753,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,726933,180,2,"std_rhythm","standard for rhythm"
"DIN8",180,727113,180,8,"timbre1","timbre (middle of melody)"
"DIN3",360,727473,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,727833,360,4,"std_timbre","standard for timbre"
"DIN1",710,728543,710,1,"std_key","standard for key"
"DIN2",360,728903,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,729083,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,729443,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,729623,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,729983,360,4,"std_timbre","standard for timbre"
"DIN1",710,730693,710,1,"std_key","standard for key"
"DIN2",360,731053,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,731233,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,731593,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,731773,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,732133,360,4,"std_timbre","standard for timbre"
"DIN5",710,732843,710,5,"key","key change"
"DI22",360,733203,360,22,NA,NA
"DI23",180,733383,180,23,NA,NA
"DI22",360,733743,360,22,NA,NA
"DI23",180,733923,180,23,NA,NA
"DI24",360,734283,360,24,NA,NA
"DIN1",710,734993,710,1,"std_key","standard for key"
"DIN2",360,735353,360,2,"std_rhythm","standard for rhythm"
"DI10",180,735533,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,735713,180,14,NA,NA
"DIN3",360,736073,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,736433,360,4,"std_timbre","standard for timbre"
"DIN1",710,737143,710,1,"std_key","standard for key"
"DIN2",360,737503,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,737683,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,737863,180,6,"melody","melody change"
"DI14",360,738223,360,14,NA,NA
"DIN4",360,738583,360,4,"std_timbre","standard for timbre"
"DIN5",710,739293,710,5,"key","key change"
"DI22",360,739653,360,22,NA,NA
"DI22",180,739833,180,22,NA,NA
"DI23",180,740013,180,23,NA,NA
"DI23",360,740373,360,23,NA,NA
"DIN9",360,740733,360,9,"timbre2","timbre (end of melody)"
"DIN1",700,741433,700,1,"std_key","standard for key"
"DIN2",360,741793,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,741973,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,742153,180,6,"melody","melody change"
"DI14",360,742513,360,14,NA,NA
"DI15",360,742873,360,15,NA,NA
"DIN5",710,743583,710,5,"key","key change"
"D101",360,743943,360,101,"rhythm1","rhythm change (long tone)"
"DI13",360,744303,360,13,NA,NA
"DI13",180,744483,180,13,NA,NA
"DIN8",180,744663,180,8,"timbre1","timbre (middle of melody)"
"DIN4",360,745023,360,4,"std_timbre","standard for timbre"
"DIN1",710,745733,710,1,"std_key","standard for key"
"DIN3",360,746093,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,746453,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,746633,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,746813,180,6,"melody","melody change"
"DIN9",360,747173,360,9,"timbre2","timbre (end of melody)"
"DIN1",710,747883,710,1,"std_key","standard for key"
"DIN7",360,748243,360,7,"tune","mistuning"
"DI13",350,748593,350,13,NA,NA
"DIN2",180,748773,180,2,"std_rhythm","standard for rhythm"
"DIN8",180,748953,180,8,"timbre1","timbre (middle of melody)"
"DIN4",360,749313,360,4,"std_timbre","standard for timbre"
"DIN1",710,750023,710,1,"std_key","standard for key"
"DIN3",360,750383,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,750743,360,2,"std_rhythm","standard for rhythm"
"D101",180,750923,180,101,"rhythm1","rhythm change (long tone)"
"DI13",360,751283,360,13,NA,NA
"DIN4",170,751453,170,4,"std_timbre","standard for timbre"
"DIN1",710,752163,710,1,"std_key","standard for key"
"DIN3",360,752523,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,752883,360,2,"std_rhythm","standard for rhythm"
"DIN7",180,753063,180,7,"tune","mistuning"
"DI13",360,753423,360,13,NA,NA
"DIN9",180,753603,180,9,"timbre2","timbre (end of melody)"
"DIN1",710,754313,710,1,"std_key","standard for key"
"DIN3",360,754673,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,755033,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,755213,180,6,"melody","melody change"
"DI13",360,755573,360,13,NA,NA
"DIN4",180,755753,180,4,"std_timbre","standard for timbre"
"DIN1",710,756463,710,1,"std_key","standard for key"
"DIN3",360,756823,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"D101",360,757183,360,101,"rhythm1","rhythm change (long tone)"
"DI13",360,757543,360,13,NA,NA
"DIN2",180,757723,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,757903,180,4,"std_timbre","standard for timbre"
"DIN1",710,758613,710,1,"std_key","standard for key"
"DIN7",360,758973,360,7,"tune","mistuning"
"DI14",360,759333,360,14,NA,NA
"DIN2",360,759693,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,759873,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,760053,180,4,"std_timbre","standard for timbre"
"DIN1",710,760763,710,1,"std_key","standard for key"
"DIN3",360,761123,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DI10",360,761483,360,10,"rhythm2","rhythm change (short tone)"
"DI13",180,761663,180,13,NA,NA
"DI13",360,762023,360,13,NA,NA
"DI15",180,762203,180,15,NA,NA
"DIN1",710,762913,710,1,"std_key","standard for key"
"DIN3",360,763273,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",350,763623,350,2,"std_rhythm","standard for rhythm"
"DIN6",180,763803,180,6,"melody","melody change"
"DI13",360,764163,360,13,NA,NA
"DIN4",180,764343,180,4,"std_timbre","standard for timbre"
"DIN1",710,765053,710,1,"std_key","standard for key"
"DIN3",360,765413,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,765773,360,2,"std_rhythm","standard for rhythm"
"DI10",180,765953,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,766133,180,14,NA,NA
"DIN4",360,766493,360,4,"std_timbre","standard for timbre"
"DIN1",710,767203,710,1,"std_key","standard for key"
"DIN8",360,767563,360,8,"timbre1","timbre (middle of melody)"
"DIN2",360,767923,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,768103,180,2,"std_rhythm","standard for rhythm"
"DIN6",180,768283,180,6,"melody","melody change"
"DI15",360,768643,360,15,NA,NA
"DIN5",710,769353,710,5,"key","key change"
"DI23",360,769713,360,23,NA,NA
"DI22",360,770073,360,22,NA,NA
"DI22",180,770253,180,22,NA,NA
"DIN8",170,770423,170,8,"timbre1","timbre (middle of melody)"
"DIN4",360,770783,360,4,"std_timbre","standard for timbre"
"DIN1",710,771493,710,1,"std_key","standard for key"
"DIN3",360,771853,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"D101",360,772213,360,101,"rhythm1","rhythm change (long tone)"
"DI13",360,772573,360,13,NA,NA
"DI13",180,772753,180,13,NA,NA
"DIN4",180,772933,180,4,"std_timbre","standard for timbre"
"DIN1",710,773643,710,1,"std_key","standard for key"
"DIN3",360,774003,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN3",360,774363,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,774723,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,774903,180,2,"std_rhythm","standard for rhythm"
"DIN4",180,775083,180,4,"std_timbre","standard for timbre"
"DIN5",710,775793,710,5,"key","key change"
"DI23",360,776153,360,23,NA,NA
"DI10",360,776513,360,10,"rhythm2","rhythm change (short tone)"
"DI14",180,776693,180,14,NA,NA
"DI13",360,777053,360,13,NA,NA
"DI24",180,777233,180,24,NA,NA
"DIN1",710,777943,710,1,"std_key","standard for key"
"DIN3",360,778303,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,778663,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,778843,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,779203,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,779383,180,4,"std_timbre","standard for timbre"
"DIN1",710,780093,710,1,"std_key","standard for key"
"DIN3",360,780453,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,780813,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,780993,180,6,"melody","melody change"
"DI13",360,781353,360,13,NA,NA
"DIN4",180,781533,180,4,"std_timbre","standard for timbre"
"DIN1",710,782243,710,1,"std_key","standard for key"
"DIN4",350,782593,350,4,"std_timbre","standard for timbre"
"DI13",360,782953,360,13,NA,NA
"DIN3",180,783133,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,783493,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,783673,180,4,"std_timbre","standard for timbre"
"DIN1",710,784383,710,1,"std_key","standard for key"
"DIN3",360,784743,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,785103,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,785283,180,6,"melody","melody change"
"DI13",350,785633,350,13,NA,NA
"DIN4",180,785813,180,4,"std_timbre","standard for timbre"
"DIN1",710,786523,710,1,"std_key","standard for key"
"DIN3",360,786883,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,787243,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,787423,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,787783,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,787963,180,4,"std_timbre","standard for timbre"
"DIN1",710,788673,710,1,"std_key","standard for key"
"DIN3",360,789033,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,789393,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,789573,180,6,"melody","melody change"
"DI13",360,789933,360,13,NA,NA
"DIN4",180,790113,180,4,"std_timbre","standard for timbre"
"DIN1",710,790823,710,1,"std_key","standard for key"
"DIN3",360,791183,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,791543,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,791723,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,792083,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,792263,180,4,"std_timbre","standard for timbre"
"DIN5",710,792973,710,5,"key","key change"
"DI23",360,793333,360,23,NA,NA
"DI22",360,793693,360,22,NA,NA
"DI23",180,793873,180,23,NA,NA
"DI22",360,794233,360,22,NA,NA
"DI24",180,794413,180,24,NA,NA
"DIN1",710,795123,710,1,"std_key","standard for key"
"DIN3",360,795483,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,795843,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,796023,180,6,"melody","melody change"
"DI13",350,796373,350,13,NA,NA
"DIN9",180,796553,180,9,"timbre2","timbre (end of melody)"
"DIN1",700,797253,700,1,"std_key","standard for key"
"DIN7",360,797613,360,7,"tune","mistuning"
"DI13",360,797973,360,13,NA,NA
"DIN3",180,798153,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",350,798503,350,2,"std_rhythm","standard for rhythm"
"DIN4",180,798683,180,4,"std_timbre","standard for timbre"
"DIN5",710,799393,710,5,"key","key change"
"DI23",360,799753,360,23,NA,NA
"DI22",360,800113,360,22,NA,NA
"DI23",180,800293,180,23,NA,NA
"DI22",360,800653,360,22,NA,NA
"DI24",180,800833,180,24,NA,NA
"DIN1",710,801543,710,1,"std_key","standard for key"
"DIN3",360,801903,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,802263,360,2,"std_rhythm","standard for rhythm"
"DIN7",180,802443,180,7,"tune","mistuning"
"DI13",360,802803,360,13,NA,NA
"DIN4",180,802983,180,4,"std_timbre","standard for timbre"
"DIN5",710,803693,710,5,"key","key change"
"DIN8",360,804053,360,8,"timbre1","timbre (middle of melody)"
"DIN2",360,804413,360,2,"std_rhythm","standard for rhythm"
"DI10",180,804593,180,10,"rhythm2","rhythm change (short tone)"
"DI14",180,804773,180,14,NA,NA
"DIN4",360,805133,360,4,"std_timbre","standard for timbre"
"DIN1",710,805843,710,1,"std_key","standard for key"
"DIN7",360,806203,360,7,"tune","mistuning"
"DI13",350,806553,350,13,NA,NA
"DIN2",180,806733,180,2,"std_rhythm","standard for rhythm"
"DIN3",180,806913,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,807273,360,4,"std_timbre","standard for timbre"
"DIN5",710,807983,710,5,"key","key change"
"DI10",360,808343,360,10,"rhythm2","rhythm change (short tone)"
"DI13",180,808523,180,13,NA,NA
"DIN3",180,808703,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN3",360,809063,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,809423,360,4,"std_timbre","standard for timbre"
"DIN1",710,810133,710,1,"std_key","standard for key"
"DIN2",360,810493,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,810673,180,2,"std_rhythm","standard for rhythm"
"DIN3",180,810853,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN7",360,811213,360,7,"tune","mistuning"
"DI15",360,811573,360,15,NA,NA
"DIN5",710,812283,710,5,"key","key change"
"DI22",360,812643,360,22,NA,NA
"DI22",180,812823,180,22,NA,NA
"DI23",180,813003,180,23,NA,NA
