"evt","SOA","Latency","Offset","evt_num","evt_descr","note"
"DIN2",360,490824,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,491004,180,6,"melody","melody change"
"DI13",360,491364,360,13,NA,NA
"DIN4",180,491544,180,4,"std_timbre","standard for timbre"
"DIN1",710,492254,710,1,"std_key","standard for key"
"DIN4",360,492614,360,4,"std_timbre","standard for timbre"
"DI13",360,492974,360,13,NA,NA
"DIN3",180,493154,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,493514,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,493694,180,4,"std_timbre","standard for timbre"
"DIN1",710,494404,710,1,"std_key","standard for key"
"DIN3",360,494764,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,495124,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,495304,180,6,"melody","melody change"
"DI13",360,495664,360,13,NA,NA
"DIN4",180,495844,180,4,"std_timbre","standard for timbre"
"DIN1",710,496554,710,1,"std_key","standard for key"
"DIN3",360,496914,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,497274,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,497454,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,497814,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,497994,180,4,"std_timbre","standard for timbre"
"DIN1",710,498704,710,1,"std_key","standard for key"
"DIN3",360,499064,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,499424,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,499604,180,6,"melody","melody change"
"DI13",360,499964,360,13,NA,NA
"DIN4",180,500144,180,4,"std_timbre","standard for timbre"
"DIN1",710,500854,710,1,"std_key","standard for key"
"DIN3",360,501214,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,501574,360,2,"std_rhythm","standard for rhythm"
"DIN3",180,501754,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,502114,360,2,"std_rhythm","standard for rhythm"
"DIN4",180,502294,180,4,"std_timbre","standard for timbre"
"DIN5",710,503004,710,5,"key","key change"
"DI23",360,503364,360,23,NA,NA
"DI22",360,503724,360,22,NA,NA
"DI23",180,503904,180,23,NA,NA
"DI22",360,504264,360,22,NA,NA
"DI24",180,504444,180,24,NA,NA
"DIN1",710,505154,710,1,"std_key","standard for key"
"DIN3",360,505514,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,505874,360,2,"std_rhythm","standard for rhythm"
"DIN6",180,506054,180,6,"melody","melody change"
"DI13",350,506404,350,13,NA,NA
"DIN9",180,506584,180,9,"timbre2","timbre (end of melody)"
"DIN1",700,507284,700,1,"std_key","standard for key"
"DIN7",360,507644,360,7,"tune","mistuning"
"DI13",360,508004,360,13,NA,NA
"DIN3",180,508184,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",350,508534,350,2,"std_rhythm","standard for rhythm"
"DIN4",180,508714,180,4,"std_timbre","standard for timbre"
"DIN5",710,509424,710,5,"key","key change"
"DI23",360,509784,360,23,NA,NA
"DI22",360,510144,360,22,NA,NA
"DI23",180,510324,180,23,NA,NA
"DI22",360,510684,360,22,NA,NA
"DI24",180,510864,180,24,NA,NA
"DIN1",710,511574,710,1,"std_key","standard for key"
"DIN3",360,511934,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN2",360,512294,360,2,"std_rhythm","standard for rhythm"
"DIN7",180,512474,180,7,"tune","mistuning"
"DI13",359,512833,359,13,NA,NA
"DIN4",181,513014,181,4,"std_timbre","standard for timbre"
"DIN5",710,513724,710,5,"key","key change"
"DIN8",359,514083,359,8,"timbre1","timbre (middle of melody)"
"DIN2",360,514443,360,2,"std_rhythm","standard for rhythm"
"DI10",181,514624,181,10,"rhythm2","rhythm change (short tone)"
"DI14",180,514804,180,14,NA,NA
"DIN4",360,515164,360,4,"std_timbre","standard for timbre"
"DIN1",710,515874,710,1,"std_key","standard for key"
"DIN7",360,516234,360,7,"tune","mistuning"
"DI13",349,516583,349,13,NA,NA
"DIN2",181,516764,181,2,"std_rhythm","standard for rhythm"
"DIN3",179,516943,179,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",361,517304,361,4,"std_timbre","standard for timbre"
"DIN5",710,518014,710,5,"key","key change"
"DI10",360,518374,360,10,"rhythm2","rhythm change (short tone)"
"DI13",180,518554,180,13,NA,NA
"DIN3",180,518734,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN3",360,519094,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",359,519453,359,4,"std_timbre","standard for timbre"
"DIN1",711,520164,711,1,"std_key","standard for key"
"DIN2",360,520524,360,2,"std_rhythm","standard for rhythm"
"DIN2",179,520703,179,2,"std_rhythm","standard for rhythm"
"DIN3",181,520884,181,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN7",360,521244,360,7,"tune","mistuning"
"DI15",350,521594,350,15,NA,NA
"DIN5",710,522304,710,5,"key","key change"
"DI22",360,522664,360,22,NA,NA
"DI22",180,522844,180,22,NA,NA
"DI23",180,523024,180,23,NA,NA
"DI23",360,523384,360,23,NA,NA
"DIN9",360,523744,360,9,"timbre2","timbre (end of melody)"
"DIN1",710,524454,710,1,"std_key","standard for key"
"DIN2",360,524814,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,524994,180,2,"std_rhythm","standard for rhythm"
"DIN7",180,525174,180,7,"tune","mistuning"
"DI14",360,525534,360,14,NA,NA
"DIN4",360,525894,360,4,"std_timbre","standard for timbre"
"DIN5",710,526604,710,5,"key","key change"
"DI22",360,526964,360,22,NA,NA
"DI22",180,527144,180,22,NA,NA
"DI23",180,527324,180,23,NA,NA
"DI23",360,527684,360,23,NA,NA
"DI24",360,528044,360,24,NA,NA
"DIN1",710,528754,710,1,"std_key","standard for key"
"DIN2",360,529114,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,529294,180,2,"std_rhythm","standard for rhythm"
"DIN3",180,529474,180,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN7",360,529834,360,7,"tune","mistuning"
"DI15",360,530194,360,15,NA,NA
"DIN5",710,530904,710,5,"key","key change"
"DI22",360,531264,360,22,NA,NA
"DI22",180,531444,180,22,NA,NA
"DI23",180,531624,180,23,NA,NA
"DI23",360,531984,360,23,NA,NA
"DIN9",360,532344,360,9,"timbre2","timbre (end of melody)"
"DIN1",710,533054,710,1,"std_key","standard for key"
"DIN2",360,533414,360,2,"std_rhythm","standard for rhythm"
"DIN2",180,533594,180,2,"std_rhythm","standard for rhythm"
"DIN8",180,533774,180,8,"timbre1","timbre (middle of melody)"
"DIN3",360,534134,360,3,"std","standard for mistuning, rhythm, timbre, melody"
"DIN4",360,534494,360,4,"std_timbre","standard for timbre"
"DIN1",710,535204,710,1,"std_key","standard for key"
"DIN2",360,535564,360,2,"std_rhythm","standard for rhythm"
